,id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
32,1028414,1,1055,3031,3006,3046,0,0,3340,2,5,5,0,1,0,551,0,0,0,0,0,92413,0,92413,0,962,12640,0,12640,0,2173,3,5958,8897,5582,7,0,13274,4282,8688,304,9885,7600,1,0,143,2,0,2,62,12,0,0,4,0,0
33,1028415,1,3143,3065,3111,3068,1056,0,3340,12,2,7,9,2,2,959,1,0,0,0,0,98700,75722,22978,0,0,22217,16142,6074,0,13698,1,31878,5015,4668,6,0,28741,13042,15449,250,11989,10300,3,0,111,0,0,0,499,15,0,0,4,0,0
34,1028416,1,3102,3165,1052,1026,3070,1028,3340,6,2,12,3,1,2,1154,0,0,0,0,0,87084,71306,13990,1788,0,16050,14271,1568,210,3198,1,7068,13977,5341,10,0,10702,3386,7280,36,11314,8635,2,0,134,7,5,2,1240,14,0,0,7,1,0
35,1028417,1,1419,3072,3006,3078,1051,0,3340,13,6,1,6,4,2,361,2,1,1,0,0,162988,1861,140132,20994,770,18191,53,14948,3189,7264,1,12519,18894,7036,22,0,23670,7767,15584,318,12990,11883,3,1,65,61,28,33,597,15,1,0,12,0,1
36,1028418,0,3047,3193,1031,3401,0,0,3340,5,5,6,3,1,1,1043,0,0,0,0,0,22922,10817,8393,3710,0,8910,4366,3914,630,1807,3,26033,488,488,7,0,19997,6139,12666,1192,7460,6850,0,0,25,0,0,0,60,11,0,0,6,0,0
37,1028419,0,1056,3165,3113,3057,1026,0,3340,1,9,3,0,1,0,415,0,0,0,0,0,54817,43491,10950,376,0,9606,7926,1394,286,3057,1,8603,2038,2038,0,0,18317,10199,7780,337,6620,6300,0,0,68,2,2,0,252,11,0,0,0,0,0
38,1028420,0,1408,3071,3193,3117,0,0,3340,10,8,5,4,2,3,553,2,0,0,0,0,73429,13733,54220,5476,0,14543,2981,11514,48,4297,1,20291,4902,1500,29,0,25571,11189,13491,890,9634,9310,1,0,29,40,26,14,253,12,1,0,24,0,0
39,1028421,0,3158,3116,3152,3211,1028,0,3340,3,7,4,2,2,1,373,1,0,0,0,0,77755,62950,14805,0,547,15756,14022,1733,0,11441,1,9836,840,840,7,0,23918,7850,15098,970,8107,7650,0,0,123,0,0,0,130,12,0,0,6,0,0
40,1028422,0,3006,3031,3085,0,0,0,3340,0,8,10,0,0,0,314,0,0,0,0,0,90388,746,88649,991,991,10021,501,9519,0,2092,3,6871,3548,1870,13,0,15441,7821,7087,532,8207,7880,1,0,134,18,5,13,28,12,0,0,6,2,0
41,1028423,1,2015,3072,3006,3031,0,0,3340,12,3,10,5,1,3,379,0,0,0,0,0,83599,404,81515,1679,873,19688,198,18668,821,1608,2,7932,5582,5582,18,0,13413,5402,7261,749,12190,9675,1,0,130,1,1,0,149,12,1,0,4,4,1
42,1028424,1,3092,3111,3107,1052,0,0,3340,3,4,19,2,1,1,364,0,0,0,0,0,22349,16882,5185,280,0,7884,6165,1437,280,2040,4,5318,2041,2041,11,0,11153,3640,7102,410,8036,6160,0,0,11,0,0,0,76,11,1,0,6,1,0
43,1028425,1,1055,3077,2031,3071,3111,1028,3340,4,5,4,2,1,1,408,0,0,0,0,0,86000,964,83428,1608,0,11310,411,10564,334,3081,1,8738,4472,4472,4,0,17473,2987,14166,319,8529,6350,4,0,135,1,0,1,147,13,0,0,3,0,0
44,1028426,1,1401,2031,3074,1001,0,0,3340,7,1,8,4,1,2,952,0,0,0,0,0,86931,12775,64410,9745,0,6481,775,3955,1750,6080,1,8708,9742,3840,9,0,15757,4594,11163,0,9197,6650,0,1,37,52,34,18,398,12,1,0,5,1,0
45,1028427,1,3285,3020,3802,3108,0,0,3340,9,4,10,3,1,3,548,0,0,0,0,0,58317,47534,10677,106,0,17296,15656,1629,10,1194,1,5849,2275,2275,8,0,10942,7804,2818,320,8901,6800,1,0,89,0,0,0,195,12,0,0,5,1,0
46,1028428,0,3152,2003,3191,3047,1082,1052,3340,4,9,2,3,1,1,286,0,0,0,0,0,46697,38172,8437,88,440,9306,8555,750,0,6872,1,6224,0,0,2,0,18057,10320,7014,722,6100,5885,0,0,83,0,0,0,84,11,0,0,2,0,0
47,1028429,0,3098,3512,2049,3117,0,0,3340,3,6,5,2,1,1,373,0,0,0,0,0,25592,24055,1271,266,0,8191,7555,435,200,2069,1,7049,0,0,25,0,11892,4198,7591,102,6549,5825,0,0,28,0,0,0,208,10,3,0,19,1,0
48,1028430,0,1401,3047,3193,2031,0,0,3340,4,4,6,3,1,1,576,0,0,0,0,0,42561,30076,9403,3081,0,7985,6333,851,801,7929,1,9658,0,0,9,0,16340,4180,10369,1791,6653,6375,0,0,32,25,15,10,316,11,0,0,5,0,0
49,1028431,0,3153,3006,1055,0,2003,0,3340,3,10,2,2,2,1,210,1,0,0,0,0,30755,146,28513,2094,127,7846,146,6735,963,990,2,4941,0,0,3,0,14546,3790,10495,260,5714,5150,0,0,59,0,0,0,15,9,0,0,3,0,0
50,1028432,0,1054,3142,3067,1001,3044,0,3340,3,7,3,0,1,0,300,0,0,0,0,0,43911,865,43046,0,0,7583,332,7250,0,219,1,8514,0,0,1,0,14176,1251,12437,486,6024,5900,0,0,78,0,0,0,80,11,0,0,1,0,0
51,1028433,0,2033,3133,3009,3134,0,0,3340,0,6,3,0,0,0,252,0,0,0,0,0,33791,548,33221,21,0,5269,548,4721,0,1527,1,367,0,162,0,0,11222,6964,4170,88,11839,3600,0,0,79,0,0,0,26,11,0,0,3,0,0
52,1028434,0,1413,3748,3742,0,3065,3025,3340,13,10,11,3,2,4,706,1,0,0,0,0,223404,69246,144268,9888,0,35053,18726,15156,1170,31490,1,2054,0,480,0,0,82164,35456,39169,7538,18483,16125,0,0,148,60,40,20,392,18,0,0,21,4,0
53,1028435,0,3072,3153,3006,3094,3031,3036,3340,27,8,8,10,3,4,856,5,1,0,0,0,298250,50194,241876,6179,1203,78107,6603,70559,944,11437,3,769,0,13565,0,0,48267,17498,27083,3684,24471,25075,6,1,301,0,0,0,363,18,1,0,20,6,1
54,1028436,0,3124,3085,3100,3158,3115,3089,3340,4,8,16,2,2,1,788,1,0,0,0,0,241269,159880,77896,3491,431,26365,17994,7344,1026,17774,4,523,0,3465,0,0,41000,16547,22906,1547,18485,18000,0,0,312,1,0,1,111,18,2,0,27,6,0
55,1028437,0,3092,3020,3157,3165,3285,3089,3364,3,12,20,2,1,1,582,0,0,0,0,0,214261,205106,8281,873,0,37283,35561,1671,50,2897,1,3777,0,1982,0,0,25881,13462,11522,896,19024,16825,1,0,155,7,6,1,348,18,1,0,10,5,0
56,1028438,1,3153,3036,3031,3026,3087,3006,3363,6,7,8,3,2,2,869,1,0,0,0,0,254557,34604,194826,25125,1488,24880,1981,17788,5110,12322,5,0,0,8863,0,0,36266,15610,20287,368,19256,17350,4,1,252,30,8,22,327,18,0,0,15,2,0
57,1028439,1,3091,3068,3047,3065,3075,3083,3363,3,6,21,2,1,1,949,0,0,0,0,0,102525,64010,25230,13284,152,17254,10836,5472,945,10953,5,3393,0,2121,0,0,47991,17444,29679,868,17389,17550,1,0,104,3,1,2,240,18,0,0,21,1,0
58,1028440,1,3089,3151,3020,3115,3285,3116,3340,15,11,9,3,2,5,474,1,0,0,0,0,247786,201990,45271,525,0,73669,70075,3319,275,7504,1,600,0,8208,0,0,41493,19038,21643,812,19999,18300,2,1,238,3,0,3,961,18,0,0,21,2,0
59,1028441,1,1416,3153,3142,3022,3006,3031,3363,8,12,10,3,1,3,722,0,0,0,0,0,267578,2013,231616,33948,1258,22301,347,17025,4929,17004,1,3167,0,2267,0,0,55799,17767,37661,370,18786,17275,0,1,87,103,50,53,638,18,4,0,22,1,0
60,1028442,1,3156,3142,3147,3111,3071,3026,3340,12,12,8,5,2,2,1044,2,0,0,0,0,231905,13666,214055,4183,0,40950,4339,34116,2494,8393,1,1120,0,3113,0,0,48187,12852,33563,1772,19167,16725,0,1,231,22,21,1,443,18,1,0,18,6,0
61,1028443,0,3165,3089,3285,3135,3020,0,3340,11,10,8,3,1,2,568,0,0,0,0,0,126950,112241,14093,616,0,21929,19984,1488,456,3191,1,10732,416,416,25,0,24981,8613,15528,840,14452,14550,0,0,172,1,1,0,411,16,0,0,16,1,0
62,1028444,0,3094,3508,3006,3031,3072,1038,3363,16,9,12,6,2,4,728,3,0,0,0,0,198705,2989,193475,2241,1152,32430,954,31043,432,5612,5,14150,10515,3782,42,0,30077,9738,18873,1466,17317,16500,1,0,208,10,7,3,251,17,0,0,15,1,1
